Probe.ID	module
A_23_P100001	4
A_23_P100092	1
A_23_P100103	1
A_23_P100141	1
A_23_P100203	3
A_23_P100220	6
A_23_P10025	2
A_23_P100292	1
A_23_P100344	1
A_23_P100355	1
A_23_P100632	1
A_23_P100654	2
A_23_P100676	2
A_23_P100711	2
A_23_P100788	1
A_23_P100802	0
A_23_P100868	1
A_23_P101013	5
A_23_P101208	2
A_23_P10135	1
A_23_P101623	2
A_23_P101737	1
A_23_P101811	2
A_23_P10182	2
A_23_P101829	1
A_23_P101960	2
A_23_P102071	1
A_23_P10211	2
A_23_P102122	1
A_23_P102160	4
A_23_P102183	1
A_23_P102192	1
A_23_P102202	1
A_23_P102235	1
A_23_P102242	1
A_23_P102331	2
A_23_P102454	1
A_23_P102481	5
A_23_P102508	1
A_23_P102582	1
A_23_P102681	7
A_23_P102769	1
A_23_P102884	1
A_23_P1029	7
A_23_P103131	1
A_23_P103226	3
A_23_P103256	2
A_23_P103486	2
A_23_P103532	1
A_23_P103601	2
A_23_P103628	1
A_23_P103661	1
A_23_P103690	1
A_23_P103837	1
A_23_P10385	1
A_23_P103919	1
A_23_P103968	3
A_23_P10401	1
A_23_P104073	6
A_23_P104109	1
A_23_P104116	1
A_23_P104372	1
A_23_P10442	2
A_23_P104522	0
A_23_P10458	1
A_23_P104594	1
A_23_P104641	2
A_23_P104651	1
A_23_P105028	1
A_23_P105227	4
A_23_P105392	1
A_23_P105592	3
A_23_P105803	2
A_23_P105862	2
A_23_P10591	5
A_23_P106002	1
A_23_P10614	1
A_23_P106145	1
A_23_P106158	1
A_23_P106389	5
A_23_P106405	2
A_23_P106412	1
A_23_P106433	1
A_23_P106439	1
A_23_P106544	1
A_23_P106617	2
A_23_P106741	1
A_23_P106835	2
A_23_P106859	1
A_23_P106887	1
A_23_P106945	5
A_23_P107087	1
A_23_P107154	1
A_23_P107166	2
A_23_P107369	3
A_23_P107373	1
A_23_P107421	1
A_23_P107507	1
A_23_P107513	1
A_23_P107587	1
A_23_P107612	6
A_23_P107644	1
A_23_P108028	1
A_23_P108062	6
A_23_P108157	3
A_23_P108216	2
A_23_P108427	3
A_23_P108574	1
A_23_P108604	1
A_23_P108751	2
A_23_P108761	1
A_23_P108785	1
A_23_P108871	1
A_23_P108948	1
A_23_P109122	2
A_23_P109201	1
A_23_P109304	1
A_23_P10936	1
A_23_P109452	1
A_23_P10956	2
A_23_P109636	2
A_23_P109677	1
A_23_P109682	2
A_23_P109895	1
A_23_P10995	2
A_23_P110005	2
A_23_P110076	1
A_23_P110108	1
A_23_P110167	3
A_23_P110266	2
A_23_P110276	1
A_23_P11032	1
A_23_P110686	1
A_23_P110764	2
A_23_P110802	1
A_23_P110882	2
A_23_P110903	1
A_23_P110961	4
A_23_P111054	1
A_23_P111171	3
A_23_P111194	3
A_23_P111267	4
A_23_P111288	2
A_23_P111766	1
A_23_P111797	1
A_23_P111811	2
A_23_P111888	7
A_23_P111995	7
A_23_P112159	1
A_23_P11256	2
A_23_P112634	4
A_23_P112673	1
A_23_P112798	2
A_23_P112950	1
A_23_P113005	1
A_23_P113111	2
A_23_P113161	2
A_23_P113184	2
A_23_P113212	1
A_23_P113351	2
A_23_P113380	2
A_23_P113613	1
A_23_P11372	1
A_23_P11390	1
A_23_P114649	1
A_23_P114713	2
A_23_P114740	2
A_23_P114783	1
A_23_P114903	5
A_23_P114968	1
A_23_P115022	4
A_23_P115052	1
A_23_P115124	1
A_23_P115215	1
A_23_P115313	1
A_23_P115316	1
A_23_P115478	6
A_23_P115482	1
A_23_P115616	1
A_23_P115726	3
A_23_P115732	2
A_23_P115743	4
A_23_P115824	2
A_23_P115862	6
A_23_P115872	1
A_23_P115919	2
A_23_P116016	4
A_23_P116123	1
A_23_P11629	2
A_23_P11644	1
A_23_P116614	2
A_23_P11674	2
A_23_P117068	1
A_23_P117104	4
A_23_P117286	2
A_23_P117540	1
A_23_P117582	2
A_23_P117623	1
A_23_P117654	5
A_23_P117694	2
A_23_P117782	2
A_23_P117852	1
A_23_P117912	1
A_23_P117928	2
A_23_P118038	1
A_23_P11806	7
A_23_P118122	2
A_23_P118135	1
A_23_P118174	1
A_23_P118246	1
A_23_P118266	2
A_23_P118306	1
A_23_P118406	5
A_23_P118615	2
A_23_P11862	1
A_23_P118643	6
A_23_P118649	1
A_23_P118660	1
A_23_P118693	1
A_23_P118712	1
A_23_P11874	1
A_23_P118815	1
A_23_P118834	1
A_23_P118894	4
A_23_P119084	1
A_23_P119130	1
A_23_P119202	1
A_23_P119254	1
A_23_P119344	1
A_23_P119418	1
A_23_P119794	2
A_23_P1199	1
A_23_P119992	1
A_23_P120048	2
A_23_P120056	1
A_23_P120125	1
A_23_P120153	5
A_23_P120316	1
A_23_P120325	1
A_23_P120467	1
A_23_P120606	1
A_23_P120667	2
A_23_P120809	1
A_23_P121037	1
A_23_P121122	1
A_23_P12113	1
A_23_P121182	2
A_23_P121345	1
A_23_P121423	1
A_23_P121447	1
A_23_P12147	1
A_23_P121499	2
A_23_P121545	2
A_23_P121702	1
A_23_P12173	1
A_23_P122197	1
A_23_P122228	1
A_23_P122233	3
A_23_P122531	2
A_23_P122650	3
A_23_P122655	1
A_23_P122662	1
A_23_P12292	3
A_23_P122924	7
A_23_P122947	1
A_23_P123022	1
A_23_P123086	2
A_23_P123096	1
A_23_P123234	5
A_23_P123905	1
A_23_P123974	1
A_23_P124022	1
A_23_P124024	1
A_23_P124164	1
A_23_P12435	2
A_23_P124384	1
A_23_P124417	1
A_23_P124619	6
A_23_P124661	1
A_23_P125001	1
A_23_P125164	2
A_23_P125265	1
A_23_P125423	1
A_23_P125541	2
A_23_P125668	1
A_23_P125748	2
A_23_P125829	1
A_23_P125977	5
A_23_P12603	1
A_23_P126037	1
A_23_P126075	1
A_23_P126089	1
A_23_P126120	1
A_23_P126186	1
A_23_P126291	1
A_23_P126298	5
A_23_P126313	1
A_23_P126388	5
A_23_P126393	1
A_23_P126448	1
A_23_P126457	1
A_23_P126593	1
A_23_P126706	2
A_23_P126735	5
A_23_P126803	1
A_23_P126825	1
A_23_P126836	1
A_23_P126844	5
A_23_P12686	2
A_23_P126917	1
A_23_P126939	1
A_23_P126970	1
A_23_P127128	4
A_23_P127175	1
A_23_P127233	1
A_23_P127267	2
A_23_P127279	3
A_23_P127288	5
A_23_P127367	3
A_23_P127394	2
A_23_P127533	1
A_23_P127557	2
A_23_P127948	1
A_23_P127964	1
A_23_P128084	2
A_23_P128147	1
A_23_P128154	1
A_23_P12816	1
A_23_P128161	1
A_23_P128319	1
A_23_P128372	1
A_23_P128486	1
A_23_P128650	1
A_23_P128698	2
A_23_P12874	1
A_23_P128855	1
A_23_P128919	4
A_23_P12896	2
A_23_P12928	1
A_23_P129301	1
A_23_P129492	1
A_23_P129569	1
A_23_P129587	1
A_23_P129614	1
A_23_P12992	1
A_23_P129935	1
A_23_P129967	1
A_23_P130027	3
A_23_P130553	1
A_23_P130900	1
A_23_P130995	1
A_23_P13102	2
A_23_P131089	2
A_23_P131240	1
A_23_P131363	6
A_23_P131375	2
A_23_P131476	1
A_23_P131502	1
A_23_P131676	1
A_23_P131723	1
A_23_P131771	1
A_23_P131866	1
A_23_P131887	1
A_23_P131899	6
A_23_P131935	1
A_23_P131954	1
A_23_P132019	1
A_23_P132175	1
A_23_P132216	1
A_23_P132260	1
A_23_P132277	1
A_23_P132405	1
A_23_P132417	1
A_23_P132454	1
A_23_P132536	2
A_23_P132595	2
A_23_P132669	2
A_23_P132675	3
A_23_P132718	2
A_23_P132845	1
A_23_P132874	1
A_23_P132910	4
A_23_P132948	2
A_23_P133095	2
A_23_P133123	1
A_23_P133146	1
A_23_P133174	1
A_23_P133216	1
A_23_P133263	1
A_23_P133315	1
A_23_P133345	2
A_23_P133359	2
A_23_P133408	5
A_23_P133470	2
A_23_P133543	2
A_23_P133596	1
A_23_P13364	2
A_23_P133956	1
A_23_P134014	1
A_23_P134167	3
A_23_P134176	1
A_23_P134204	1
A_23_P134247	1
A_23_P13425	2
A_23_P134274	1
A_23_P134295	1
A_23_P134419	1
A_23_P134426	1
A_23_P134477	2
A_23_P134584	1
A_23_P134650	1
A_23_P134734	4
A_23_P134764	1
A_23_P134910	1
A_23_P13493	2
A_23_P134980	5
A_23_P134994	1
A_23_P13502	1
A_23_P135164	1
A_23_P135257	1
A_23_P135273	1
A_23_P135364	1
A_23_P135385	1
A_23_P135722	2
A_23_P135857	3
A_23_P135878	1
A_23_P13604	2
A_23_P136173	5
A_23_P136232	1
A_23_P136460	2
A_23_P13657	1
A_23_P136635	3
A_23_P136724	1
A_23_P136786	1
A_23_P136787	1
A_23_P13679	1
A_23_P136805	1
A_23_P136817	1
A_23_P136849	1
A_23_P136978	3
A_23_P137157	5
A_23_P137196	5
A_23_P137361	1
A_23_P137391	1
A_23_P137470	1
A_23_P137532	1
A_23_P137578	1
A_23_P137665	5
A_23_P137705	1
A_23_P137731	1
A_23_P137806	2
A_23_P137830	1
A_23_P137896	1
A_23_P137984	1
A_23_P138099	1
A_23_P138271	1
A_23_P138308	6
A_23_P138376	1
A_23_P138465	1
A_23_P138507	1
A_23_P13852	1
A_23_P138665	3
A_23_P138686	2
A_23_P138706	2
A_23_P138796	1
A_23_P13899	1
A_23_P139895	1
A_23_P139912	6
A_23_P139919	5
A_23_P139965	2
A_23_P140029	2
A_23_P140069	2
A_23_P140256	1
A_23_P14026	5
A_23_P140316	1
A_23_P140373	5
A_23_P140434	4
A_23_P14062	1
A_23_P140654	2
A_23_P140698	2
A_23_P140705	1
A_23_P14072	3
A_23_P140738	7
A_23_P140748	1
A_23_P140760	1
A_23_P140848	1
A_23_P14105	2
A_23_P141146	1
A_23_P141208	4
A_23_P141345	1
A_23_P141346	1
A_23_P141389	1
A_23_P141405	1
A_23_P141434	1
A_23_P141447	1
A_23_P141688	7
A_23_P141764	1
A_23_P141893	1
A_23_P141894	1
A_23_P141946	2
A_23_P141965	1
A_23_P141974	5
A_23_P142075	5
A_23_P142174	3
A_23_P142294	6
A_23_P142380	1
